mode_dsc,carrier,avg_rate_per_unit
"AIR   ",V444_0,0.05849599987268448
"AIR   ",V444_5,0.11064571291208267
"AIR   ",V444_9,0.1255199983716011
"AIR   ",V444_8,0.1415119992941618
"AIR   ",V444_2,0.14970133354266485
"AIR   ",V444_6,1.0750947469159176
"AIR   ",V444_1,1.4729730727737897
"AIR   ",V444_4,3.794384861443085
GROUND,V444_0,12.706228596823555
GROUND,V444_5,14.63480009351458
GROUND,V444_7,128.02720642089844
