plant_code,total_cost
PLANT03,14806565.892320693
PLANT16,470608.18496096134
PLANT08,144835.6572818756
PLANT09,104096.86698049307
PLANT12,86590.76023101807
PLANT13,20375.42177399993
PLANT04,149.11915004253387
